,location,count,percentage
0,United States of America,108,26.89
1,United Kingdom,45,11.22
2,Germany,28,6.98
3,Australia,20,4.99
4,Canada,18,4.49
5,Italy,17,4.24
6,Netherlands,13,3.24
7,Japan,12,2.99
8,China,11,2.74
9,France,11,2.74
10,Sweden,10,2.49
11,South Korea,9,2.24
12,Switzerland,8,2.0
13,Belgium,7,1.75
14,Finland,7,1.75
15,Taiwan,6,1.5
16,Hong Kong,6,1.5
17,Turkey,6,1.5
18,Spain,6,1.5
19,Austria,5,1.25
20,New Zealand,5,1.25
21,Ireland,5,1.25
22,Denmark,5,1.25
23,Norway,4,1.0
24,India,4,1.0
25,South Africa,3,0.75
26,Israel,3,0.75
27,Singapore,2,0.5
28,Russia,2,0.5
29,Brazil,2,0.5
30,Portugal,2,0.5
31,Iran,2,0.5
32,Poland,1,0.25
33,Czechia,1,0.25
34,Greece,1,0.25
35,Colombia,1,0.25
36,Morocco,1,0.25
37,Macao,1,0.25
38,Iceland,1,0.25
39,Chile,1,0.25
40,Thailand,1,0.25
