,Unnamed: 0,location,count,percentage,year,Continent
0,0,United States of America,72,36.0,2011,North America
1,1,United Kingdom,29,14.5,2011,Europe
2,2,Germany,14,7.0,2011,Europe
3,3,Netherlands,10,5.0,2011,Europe
4,4,Canada,9,4.5,2011,North America
5,5,Australia,7,3.5,2011,Oceania
6,6,China,6,3.0,2011,Asia
7,7,Sweden,6,3.0,2011,Europe
8,8,Switzerland,6,3.0,2011,Europe
9,9,Japan,5,2.5,2011,Asia
10,10,South Korea,4,2.0,2011,Asia
11,11,France,4,2.0,2011,Europe
12,12,Hong Kong,4,2.0,2011,Asia
13,13,Taiwan,4,2.0,2011,Asia
14,14,Denmark,3,1.5,2011,Europe
15,15,Spain,2,1.0,2011,Europe
16,16,Belgium,2,1.0,2011,Europe
17,17,Ireland,2,1.0,2011,Europe
18,18,Turkey,2,1.0,2011,Asia
19,19,Singapore,2,1.0,2011,Asia
20,20,Austria,2,1.0,2011,Europe
21,21,South Africa,1,0.5,2011,Africa
22,22,Finland,1,0.5,2011,Europe
23,23,Norway,1,0.5,2011,Europe
24,24,New Zealand,1,0.5,2011,Oceania
25,25,Egypt,1,0.5,2011,Africa
26,0,United States of America,113,28.09,2012,North America
27,1,United Kingdom,52,12.94,2012,Europe
28,2,Germany,22,5.47,2012,Europe
29,3,Australia,21,5.22,2012,Oceania
30,4,Canada,18,4.48,2012,North America
31,5,Japan,16,3.98,2012,Asia
32,6,Italy,14,3.48,2012,Europe
33,7,Netherlands,13,3.23,2012,Europe
34,8,China,10,2.49,2012,Asia
35,9,Sweden,10,2.49,2012,Europe
36,10,France,8,1.99,2012,Europe
37,11,Spain,8,1.99,2012,Europe
38,12,Taiwan,8,1.99,2012,Asia
39,13,South Korea,7,1.74,2012,Asia
40,14,Belgium,7,1.74,2012,Europe
41,15,Switzerland,7,1.74,2012,Europe
42,16,Hong Kong,6,1.49,2012,Asia
43,17,New Zealand,6,1.49,2012,Oceania
44,18,Denmark,5,1.24,2012,Europe
45,19,Austria,5,1.24,2012,Europe
46,20,Finland,5,1.24,2012,Europe
47,21,Ireland,5,1.24,2012,Europe
48,22,Israel,4,1.0,2012,Asia
49,23,Norway,4,1.0,2012,Europe
50,24,Turkey,4,1.0,2012,Asia
51,25,Portugal,4,1.0,2012,Europe
52,26,South Africa,3,0.75,2012,Africa
53,27,Brazil,2,0.5,2012,South America
54,28,Singapore,2,0.5,2012,Asia
55,29,Russia,2,0.5,2012,Asia
56,30,Poland,2,0.5,2012,Europe
57,31,India,1,0.25,2012,Asia
58,32,Thailand,1,0.25,2012,Asia
59,33,Chile,1,0.25,2012,South America
60,34,Czechia,1,0.25,2012,Europe
61,35,Greece,1,0.25,2012,Europe
62,36,Iran,1,0.25,2012,Asia
63,37,Egypt,1,0.25,2012,Africa
64,38,Iceland,1,0.25,2012,Europe
65,39,Estonia,1,0.25,2012,Europe
66,0,United States of America,111,27.75,2013,North America
67,1,United Kingdom,48,12.0,2013,Europe
68,2,Germany,25,6.25,2013,Europe
69,3,Canada,19,4.75,2013,North America
70,4,Australia,19,4.75,2013,Oceania
71,5,Italy,14,3.5,2013,Europe
72,6,Japan,13,3.25,2013,Asia
73,7,Netherlands,13,3.25,2013,Europe
74,8,France,12,3.0,2013,Europe
75,9,Sweden,10,2.5,2013,Europe
76,10,China,9,2.25,2013,Asia
77,11,Switzerland,8,2.0,2013,Europe
78,12,Taiwan,7,1.75,2013,Asia
79,13,Belgium,7,1.75,2013,Europe
80,14,Spain,7,1.75,2013,Europe
81,15,South Korea,6,1.5,2013,Asia
82,16,Hong Kong,6,1.5,2013,Asia
83,17,Austria,6,1.5,2013,Europe
84,18,New Zealand,6,1.5,2013,Oceania
85,19,Denmark,5,1.25,2013,Europe
86,20,Ireland,5,1.25,2013,Europe
87,21,Finland,5,1.25,2013,Europe
88,22,Turkey,5,1.25,2013,Asia
89,23,South Africa,4,1.0,2013,Africa
90,24,Norway,4,1.0,2013,Europe
91,25,Portugal,3,0.75,2013,Europe
92,26,India,3,0.75,2013,Asia
93,27,Israel,3,0.75,2013,Asia
94,28,Russia,2,0.5,2013,Asia
95,29,Brazil,2,0.5,2013,South America
96,30,Singapore,2,0.5,2013,Asia
97,31,Poland,2,0.5,2013,Europe
98,32,Iceland,1,0.25,2013,Europe
99,33,Czechia,1,0.25,2013,Europe
100,34,Saudi Arabia,1,0.25,2013,Asia
101,35,Iran,1,0.25,2013,Asia
102,36,Greece,1,0.25,2013,Europe
103,37,Thailand,1,0.25,2013,Asia
104,38,Colombia,1,0.25,2013,South America
105,39,Mexico,1,0.25,2013,North America
106,40,Estonia,1,0.25,2013,Europe
107,0,United States of America,109,27.25,2014,North America
108,1,United Kingdom,49,12.25,2014,Europe
109,2,Germany,26,6.5,2014,Europe
110,3,Canada,19,4.75,2014,North America
111,4,Australia,19,4.75,2014,Oceania
112,5,Italy,15,3.75,2014,Europe
113,6,Netherlands,13,3.25,2014,Europe
114,7,Japan,11,2.75,2014,Asia
115,8,France,11,2.75,2014,Europe
116,9,China,10,2.5,2014,Asia
117,10,Sweden,10,2.5,2014,Europe
118,11,Spain,9,2.25,2014,Europe
119,12,Switzerland,8,2.0,2014,Europe
120,13,Taiwan,8,2.0,2014,Asia
121,14,South Korea,7,1.75,2014,Asia
122,15,Belgium,7,1.75,2014,Europe
123,16,Hong Kong,6,1.5,2014,Asia
124,17,Austria,6,1.5,2014,Europe
125,18,India,5,1.25,2014,Asia
126,19,Turkey,5,1.25,2014,Asia
127,20,New Zealand,5,1.25,2014,Oceania
128,21,Ireland,5,1.25,2014,Europe
129,22,Denmark,5,1.25,2014,Europe
130,23,Finland,5,1.25,2014,Europe
131,24,Norway,4,1.0,2014,Europe
132,25,Israel,3,0.75,2014,Asia
133,26,South Africa,3,0.75,2014,Africa
134,27,Saudi Arabia,2,0.5,2014,Asia
135,28,Brazil,2,0.5,2014,South America
136,29,Singapore,2,0.5,2014,Asia
137,30,Portugal,2,0.5,2014,Europe
138,31,Poland,1,0.25,2014,Europe
139,32,Czechia,1,0.25,2014,Europe
140,33,Greece,1,0.25,2014,Europe
141,34,Iceland,1,0.25,2014,Europe
142,35,Thailand,1,0.25,2014,Asia
143,36,Iran,1,0.25,2014,Asia
144,37,Colombia,1,0.25,2014,South America
145,38,Russia,1,0.25,2014,Asia
146,39,Estonia,1,0.25,2014,Europe
147,0,United States of America,108,26.89,2015,North America
148,1,United Kingdom,45,11.22,2015,Europe
149,2,Germany,28,6.98,2015,Europe
